Store_nr,store_name,Address,"Latitude, Long",Address found
118970,松山,台北市信義區忠孝東路五段386號,"25.0407495,121.5741676","No. 386, Section 5 of Zhongxiao East RoadSection 5 of Zhongxiao E Rd, Xinyi District, Taipei City, Taiwan 110"
119478,醫學,台北市信義區吳興街257號259號,"25.0271406,121.5637318","259 号, No. 257, Wuxing St, Xinyi District, Taipei City, Taiwan 110"
120353,福中,台北市信義區福德街159號161號1樓,"25.0376675,121.5833132","161 号 1, No. 159, Fude St, Xinyi District, Taipei City, Taiwan 110"
120515,喬治,台北市信義區基隆路二段155號1樓,"25.0259016,121.5545101","1樓, No. 155號, Section 2, Keelung Rd, Xinyi District, Taipei City, Taiwan 110"
121079,新三連,台北市信義區逸仙路42巷25號1樓,"25.0404207,121.56315","1樓, No. 25號, Lane 42, Yixian Rd, Xinyi District, Taipei City, Taiwan 110"
122186,總部,台北市信義區東興路67號1樓,"25.0466037,121.5669247","1, No. 67, Dongxing Rd, Xinyi District, Taipei City, Taiwan 110"
122212,崇德,台北市信義區崇德街104號106號1樓,"25.023995,121.555603","106 号 1, No. 104, Chongde St, Xinyi District, Taipei City, Taiwan 110"
127723,東暉,台北市信義區忠孝東路四段514號,"25.0408285,121.5624801","No. 514, Section 4, Zhongxiao E Rd, Xinyi District, Taipei City, Taiwan 110"
128036,新工農,台北市信義區忠孝東路五段236巷6-3號8號1樓,"25.0403,121.571763","110, Taiwan, Taipei City, Xinyi District, Lane 236, Section 5, Zhongxiao E Rd, 6-2號號1樓"
130132,敦厚,台北市信義區永吉路30巷168弄1號1樓,"25.0420853,121.5675411","1樓, No. 1號, Alley 168, Lane 30, Yongji Rd, Xinyi District, Taipei City, Taiwan 11064"
135012,統誠,台北市信義區松高路11號B2樓,"25.0396669,121.5653555","11073, Taiwan, Taipei City, Xinyi District, Songgao Rd, 11號B2"
135241,永信,台北市信義區永吉路30巷103號,"25.0435002,121.5688494","110, Taiwan, Taipei City, Xinyi District, 永吉路30巷103號"
